Catalog No,Reign Era,Reign Dates,Temple/Personal Name,Mint,Obverse Inscription,Description,Rarity (Hartill: lower=rarer),Entry Date,Book Page,PDF Page
22.283,Qianlong,1736-1795,Gao Zong,"Guilin, Guangxi",乾隆通篝 Qian Long tong bao,Open bei,,,304,24
22.297,Qianlong,1736-1795,Gao Zong,"Guilin, Guangxi",乾隆通篝 Qian Long tong bao,,,,304,24
22.298,Qianlong,1736-1795,Gao Zong,"Guilin, Guangxi",乾隆通篝 Qian Long tong bao,,,,304,24
22.349,Qianlong,1736-1795,Gao Zong,"Hangzhou, Zhejiang",乾隆通' Qian Long tong bao,"Closed ednead; one dot tong。 1740-51. 卫02315,51470 16",5,1740-51,309,29
22.350,Qianlong,1736-1795,Gao Zong,"Hangzhou, Zhejiang",乾隆通' Qian Long tong bao,"Closed head, two dot tong。 1740-51. 16",16,1740-51,309,29
22.351,Qianlong,1736-1795,Gao Zong,"Hangzhou, Zhejiang",乾隆通' Qian Long tong bao,Protruding head one dot tong。 1752.80,,1752-80,309,29
22.352,Qianlong,1736-1795,Gao Zong,"Hangzhou, Zhejiang",乾隆通' Qian Long tong bao,Bottom O[ long We 芷 Zheng。 ],,,309,29
22.353,Qianlong,1736-1795,Gao Zong,"Hangzhou, Zhejiang",乾隆通' Qian Long tong bao,"Protruding head, LO dot tong; 1752.80",,1752-80,309,29
22.414,Qianlong,1736-1795,Gao Zong,"Ili, Xinjiang",,,,,314,34
22.417,Qianlong,1736-1795,Gao Zong,"Ili, Xinjiang",,,,,314,34
22.323,Qianlong,1736-1795,Gao Zong,"Jinan, Shandong",,"Rev: Booji left and right. 1736-38. 卫02325,51486 11 Apart from the announcement Of the closure Of the mint there are TO records Of its operation during the Qianlong period",5,1736-38,306,26
22.324,Qianlong,1736-1795,Gao Zong,"Jinan, Shandong",,,,,307,27
22.325,Qianlong,1736-1795,Gao Zong,"Jinan, Shandong",,,,,307,27
22.327,Qianlong,1736-1795,Gao Zong,"Jinan, Shandong",,,,,307,27
22.328,Qianlong,1736-1795,Gao Zong,"Jinan, Shandong",,,,,307,27
22.329,Qianlong,1736-1795,Gao Zong,"Jinan, Shandong",,,,,307,27
22.330,Qianlong,1736-1795,Gao Zong,"Jinan, Shandong",,,,,307,27
22.333,Qianlong,1736-1795,Gao Zong,"Jinan, Shandong",,,,,307,27
22.100,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,Small characters。 Rev: No markg。 1775-95,,1775-95,313,33
22.106,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,"Closed head long angular boo, Rev: No marks 1825-50. `",,1825-50,313,33
22.108,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,"Rev: Marks above and below。 1825.50。 The minl opened in 1775, with 2 furnaces casting 1,200, and later 1,700 strings a year",,1825-50,313,33
22.395,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,"Large characters, head of tong sloping up. Rev: No marks。 1775-95.102327",,1775-95,313,33
22.396,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,Rev: Mark above hole 1775-95,,1775-95,313,33
22.397,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,Rev; Mark above and below hole 1775-95,,1775-95,313,33
22.398,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,Head of tong straisht. Rev: No marks 1775.95 葚,,1775-95,313,33
22.399,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,Rev: Mark above hole。 1775.95,,1775-95,313,33
22.400,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,,,,313,33
22.401,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,Rev: With long bottom stroke 1775.95。 Posthumous issues,,1775-95,313,33
22.402,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,Six stroke bei。 Lirge boo Rev: No marks。 Jiaqing period 1796-1820. 12,12,1796-1820,313,33
22.403,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,Rev: Mark above hole 1796-1820,,1796-1820,313,33
22.404,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,Square head tong. Rev: No marks。 Daoguang pemod。 1821.35,,1821-35,313,33
22.405,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,Rev: Large dot above 1821-25,,1821-25,313,33
22.406,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,,,,313,33
22.407,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,,,,313,33
22.408,Qianlong,1736-1795,Gao Zong,"Kashgar, Xinjiang",,Emperor Gao Zong,,,313,33
22.111,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通寰 Qian Long tong bao,Crescent above 1878-83。 14 14 14,14,1878-83,314,34
22.410,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通寰 Qian Long tong bao,Rough style 1878-83,,1878-83,314,34
22.411,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通寰 Qian Long tong bao,Very rough style。 1878.83,,1878-83,314,34
22.412,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通寰 Qian Long tong bao,Rev,,,314,34
22.413,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通寰 Qian Long tong bao,Rev: No additional marks 1878.83,,1878-83,314,34
22.415,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通寰 Qian Long tong bao,Rev,,,314,34
22.420,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通饔 Qian Long tong bao,Rev,,,315,35
22.421,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通饔 Qian Long tong bao,庳十 Ku shi (Iu[che] Ten) above and below。 1886.88 13,13,1886-88,315,35
22.422,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通饔 Qian Long tong bao,The same TeVer8e inscription inverted 1886-88,,1886-88,315,35
22.423,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通饔 Qian Long tong bao,"Cruder, sprawling characters",,,315,35
22.424,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通饔 Qian Long tong bao,什 shi,,,315,35
22.425,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通饔 Qian Long tong bao,十 shi,,,315,35
22.426,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通饔 Qian Long tong bao,"Two dot tong. Narrow ""chiowan"" ?189Us 14",,,315,35
22.427,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通饔 Qian Long tong bao,One dot tong. Broad `chlowan ?1890s 11 Probably mnde by,,,315,35
22.428,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通饔 Qian Long tong bao,,,,316,36
22.437,Qianlong,1736-1795,Gao Zong,"Kucha, Xinjiang",乾隆通饔 Qian Long tong bao,Emperor Gao Zong,,,316,36
22.310,Qianlong,1736-1795,Gao Zong,"Suzhou, Jiangsu",,"Closed head, two dot long。 1756.65。 TD2316,51471 16",6,1756-65,306,26
22.313,Qianlong,1736-1795,Gao Zong,"Suzhou, Jiangsu",,Protruding head tong: SmallsU。 1788.94。 16,16,1788-94,306,26
22.314,Qianlong,1736-1795,Gao Zong,"Suzhou, Jiangsu",,"Protruding head tong。 Large SU。 1788.94。 16 Production was generally 111,700 strings 0 Jear。 In 1778, the alloy UUOS altered to 0 miiture Of apanese and Yunnan copper; with zinc used instead Of lead。 The cheap Yuman copper Was producing coins OLan unattractive dark Colow",,1788-94,306,26
22.429,Qianlong,1736-1795,Gao Zong,"Ushi, Xinjiang",乾隆通寞 Qian Long tong bao,Square head tong; slanting 之 1766-69。 器,,1766-69,316,36
22.430,Qianlong,1736-1795,Gao Zong,"Ushi, Xinjiang",乾隆通寞 Qian Long tong bao,Square head tong: curved 1766-69,,1766-69,316,36
22.431,Qianlong,1736-1795,Gao Zong,"Ushi, Xinjiang",乾隆通寞 Qian Long tong bao,"隆 Long written with a 岙: Broad rims, nominal weight 2 qian。 1770.71。卫02329 11 The 隆 long written with a 岙. Ordinary rims; weight 3 to 5 gramg",9,1770-71,316,36
22.432,Qianlong,1736-1795,Gao Zong,"Ushi, Xinjiang",乾隆通寞 Qian Long tong bao,Large hook at the end of Zohi 1771-98 15,15,1771-98,316,36
22.433,Qianlong,1736-1795,Gao Zong,"Ushi, Xinjiang",乾隆通寞 Qian Long tong bao,"Small hook at the end of Uf 1771-98 15 In 1766, the Akst mint was ordered to transfer its casting to",,1771-98,316,36
22.288,Qianlong,1736-1795,Gao Zong,"Wuchang, Hubei",乾隆通篝 Qian Long tong bao,Top O[ua short stroke。 Rev; Plain。 16,,,304,24
22.289,Qianlong,1736-1795,Gao Zong,"Wuchang, Hubei",乾隆通篝 Qian Long tong bao,Rev: Large dot above。 15,15,,304,24
22.290,Qianlong,1736-1795,Gao Zong,"Wuchang, Hubei",乾隆通篝 Qian Long tong bao,Rev: Large dot below。 51474,,,304,24
22.291,Qianlong,1736-1795,Gao Zong,"Wuchang, Hubei",乾隆通篝 Qian Long tong bao,"Top ofu a IonB gtroke。 Rev: Plamn。 002317,81473 盏",,,304,24
22.292,Qianlong,1736-1795,Gao Zong,"Wuchang, Hubei",乾隆通篝 Qian Long tong bao,Rev: Large dot below。 Square head tong. 尔 Br bao. Bottom of 隆 long lke 生- 1764-85,,1764-85,304,24
22.293,Qianlong,1736-1795,Gao Zong,"Wuchang, Hubei",乾隆通篝 Qian Long tong bao,Top Ofu bent。 Rev; Plain 51472 16,16,,304,24
22.294,Qianlong,1736-1795,Gao Zong,"Wuchang, Hubei",乾隆通篝 Qian Long tong bao,Rev: Large dot below. 16,16,,304,24
22.295,Qianlong,1736-1795,Gao Zong,"Wuchang, Hubei",乾隆通篝 Qian Long tong bao,"Top Ofu a long gtroke。 Closed head tong; 缶 Fou bao. Red coins;, poor workmanship 1786-94",,1786-94,304,24
22.296,Qianlong,1736-1795,Gao Zong,"Wuchang, Hubei",乾隆通篝 Qian Long tong bao,-8 Differences in boo &c。 16,,,304,24
22.304,Qianlong,1736-1795,Gao Zong,"Wuchang, Hubei",乾隆通篝 Qian Long tong bao,,,,305,25
22.308,Qianlong,1736-1795,Gao Zong,"Wuchang, Hubei",乾隆通篝 Qian Long tong bao,,,,305,25
22.316,Qianlong,1736-1795,Gao Zong,"Wuchang, Hubei",乾隆通篝 Qian Long tong bao,Emperor Gao Zong,,,305,25
22.435,Qianlong,1736-1795,Gao Zong,"Yarkand, Xinjiang",乾隆通寞 Qian Long tong bao,Closed head long。 1760-69,,1760-69,316,36
22.436,Qianlong,1736-1795,Gao Zong,"Yarkand, Xinjiang",乾隆通寞 Qian Long tong bao,"Square head tong。 1760-69。 11 Rev: Yerkiyang left , N(a)uR(a)n dright",,1760-69,316,36
22.560,Jiaqing,1796-1820,Ren Zong,"Aksu, Xinjiang",嘉傻(庆)通寰 Jia Qing tong bao,Large Ja。 1798-1800 0D2358 15,15,1798-1800,325,45
22.561,Jiaqing,1796-1820,Ren Zong,"Aksu, Xinjiang",嘉傻(庆)通寰 Jia Qing tong bao,Small Jia. Feet of bei 1800-20. 15,15,1800-20,325,45
22.562,Jiaqing,1796-1820,Ren Zong,"Aksu, Xinjiang",嘉傻(庆)通寰 Jia Qing tong bao,"Peet of bei 1800-20。 15 In {801, the quota of copper to be collected LUUS 21,100 jmn; from which was lo be cast 3,600 strings Ol Dul COing each weighing 1.2 qan",,1800-20,325,45
22.555,Jiaqing,1796-1820,Ren Zong,"Baoding, Zhili",嘉蹩(庆)通赛 Jia Qirg tong bao,"Closed gix stroke bei。 Large 吉 jmn 嘉 jia。 1796-99. 卫02346,51501",6,1796-99,324,44
22.556,Jiaqing,1796-1820,Ren Zong,"Baoding, Zhili",嘉蹩(庆)通赛 Jia Qirg tong bao,Small 吉 jiin ja 1799.1802,,1799-1802,324,44
22.557,Jiaqing,1796-1820,Ren Zong,"Baoding, Zhili",嘉蹩(庆)通赛 Jia Qirg tong bao,Open six stroke bei. 口 Rou in 嘉 ja rectangular。 1808.15. #,,1808-15,324,44
22.558,Jiaqing,1796-1820,Ren Zong,"Baoding, Zhili",嘉蹩(庆)通赛 Jia Qirg tong bao,口 Rou in 嘉 ja trapezoidal。 1810.15,15,1810-15,324,44
22.418,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,"Protruding head boo North branch_ 16 Type 43.As Type 42, but with a dot on the reverse above the hole 1798-1803",,1798-1803,318,38
22.440,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,"Six stroke bei, closed head tong: Past branch 卫D2336,51489 16",6,,318,38
22.441,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,"Square head, two dot tong。 South branch 16",,,318,38
22.442,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,Cloged head One dot tong。 Test branch 16,,,318,38
22.443,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,No priwy marks。 North branch 16,,,318,38
22.444,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,Protruding head boo。 North branch 16 Type 42. Closed bei. Small 吉 jiin 嘉 jia. Slightly smaller coins。 1798-1802,,1798-1802,318,38
22.445,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,-48. 16 Type C。 Top stroke of bao a distinct dot. Bei squarish; with teet as distinct strokes at the corners (except for the East branch). Size rather variable Type CI. Left-hand stroke of the 广 of qing curved。 1816-20,,1816-20,318,38
22.446,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,"Square head, two dot tong。 South branch 16",,,318,38
22.447,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,"Closed head, one dot tong。 West branch。 16",,,318,38
22.449,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,-52 Branch privy marks as,,,318,38
22.453,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,-6 Branch priwy marks as,,,318,38
22.457,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,-60 Branch priw marks as,,,318,38
22.465,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,-8 Branch privy marks a8,,,318,38
22.469,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,No branch privy marks Type B Open bei. Small 吉 jiin 嘉 jia。 1803-15,,1803-15,319,39
22.470,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,-3 Branch priv marks a8,,,319,39
22.471,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,通 West,,,319,39
22.472,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,禺 Nonth,,,319,39
22.474,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,-6 Branch priw marks as,,,319,39
22.475,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,通 IVest,,,319,39
22.476,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,Bast,,,319,39
22.477,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,-80 Branch privy marks as,,,319,39
22.478,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,通 West,,,319,39
22.479,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,舅 North,,,319,39
22.480,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,通 South,,,319,39
22.487,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,通 axilia 22 通 Old,,,319,39
22.490,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,通 Auxigiary New,,,319,39
22.502,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,Local variation。 1796.1800。 15 Coastal Province types,,1796-1800,320,40
22.503,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,"Closed head, two dot tong。 1800.20",20,1800-20,320,40
22.504,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,"Protruding head, two dot tong: 1800.20. 1",1,1800-20,320,40
22.507,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,Local variation smaller size 38 冒,,,320,40
22.508,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,,,,321,41
22.509,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通贷 Jia Qing tong bao,Local variation Square head tong。 1799.1820,,1799-1820,321,41
22.510,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通贷 Jia Qing tong bao,Sa stroke bei,,,321,41
22.511,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通贷 Jia Qing tong bao,Seven stroke bei,,,321,41
22.512,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通贷 Jia Qing tong bao,Small characters。 Cf,,,321,41
22.513,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,J,,,321,41
22.514,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通贷 Jia Qing tong bao,Rev: Crescent above 1796-1806,,1796-1806,321,41
22.515,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通贷 Jia Qing tong bao,Poor quality local design 1806.1820,,1806-1820,321,41
22.516,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通贷 Jia Qing tong bao,Rev; Crescent above 卫02351,1,,321,41
22.517,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通贷 Jia Qing tong bao,"Square head tong。 Poor, light coin",,,321,41
22.518,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,,,,321,41
22.519,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,Emperor Ren Zong,,,321,41
22.520,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通贷 Jia Qing tong bao,,,,322,42
22.521,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉鏖(庆)逋夤 Jia Qing tong bao,"Closed head, two dot tong。 1798.1810 16",16,1798-1810,322,42
22.522,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉鏖(庆)逋夤 Jia Qing tong bao,Small coin。 16,,,322,42
22.523,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉鏖(庆)逋夤 Jia Qing tong bao,Protruding head two dot tong 1811.1820。 16,16,1811-1820,322,42
22.524,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉鏖(庆)逋夤 Jia Qing tong bao,"Small coin。 16 It appears Lhal tlese smtall coins were produced by the official minl, nol priuale forgers",,,322,42
22.525,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉鏖(庆)逋夤 Jia Qing tong bao,Broad rim coin,,,322,42
22.526,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉鏖(庆)逋夤 Jia Qing tong bao,Coastal province type。 10,,,322,42
22.527,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通贷 Jia Qing tong bao,,,,322,42
22.528,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉鏖(庆)逋夤 Jia Qing tong bao,Rev: Dot top left。 1796-1805,,1796-1805,322,42
22.529,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通贷 Jia Qing tong bao,,,,322,42
22.530,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉鏖(庆)逋夤 Jia Qing tong bao,Coastal Province type. Protruding head tong; degenerate。 1815.30,,1815-30,322,42
22.531,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉度(庆)通贷 Jia Qing tong bao,,,,322,42
22.532,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉鏖(庆)逋夤 Jia Qing tong bao,Small 吉 jiin 嘉 jia。 1799-1820,,1799-1820,322,42
22.542,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉鏖(庆)逋夤 Jia Qing tong bao,,,,323,43
22.544,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉鏖(庆)通赛 Jia Qing tong bao,Yshaped y-in yUn 15,,,323,43
22.545,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉鏖(庆)通赛 Jia Qing tong bao,"Feet of bao at corners 15 Belween 1799 and 1801, IIIIS Were operation al Dongchwan, Lin 'an, Dali; Baoshan, Churiong; and Guangnan recasting small coins as regulation coins presumably this ralher variable series",,,323,43
22.546,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉鏖(庆)通赛 Jia Qing tong bao,Square head tong。 1819-30。 14,14,1819-30,323,43
22.552,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉蹩(庆)通赛 Jia Qirg tong bao,"Closed head, two dot tong。 1799.1808。 15",15,1799-1808,324,44
22.553,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉蹩(庆)通赛 Jia Qirg tong bao,Smaller coin。 1799.1808,,1799-1808,324,44
22.554,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉蹩(庆)通赛 Jia Qirg tong bao,"Protruding head, two dot tong: 15 1809-20",,1809-20,324,44
22.559,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉鏖(庆)通赛 Jia Qing tong bao,Emperor Ren Zong,,,324,44
22.565,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉蹩(庆)通赛 Jia Qirg tong bao,,,,325,45
22.568,Jiaqing,1796-1820,Ren Zong,"Board of Revenue (Boo-chiowan, Peking)",嘉蹩(庆)通赛 Jia Qirg tong bao,,,,325,45
22.481,Jiaqing,1796-1820,Ren Zong,"Board of Works (Boo-yuwan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,"Closed head tong。 New branch 卫02339,51490 16",9,,319,39
22.482,Jiaqing,1796-1820,Ren Zong,"Board of Works (Boo-yuwan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,Square head; two dot tong。 Old branch。 16 Type 42. Closed bei. Small 吉 ji in 嘉 jia. Slightly smaller coins: 1798.1803,,1798-1803,319,39
22.483,Jiaqing,1796-1820,Ren Zong,"Board of Works (Boo-yuwan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,-85_ 51491 15 Type C2。 Top stroke Of bao a distinct dot. Left-hand stroke of the 广 of qing straight. 1816-20,,1816-20,320,40
22.484,Jiaqing,1796-1820,Ren Zong,"Board of Works (Boo-yuwan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,"Square head, two dot tong。 Old branch 16",,,319,39
22.485,Jiaqing,1796-1820,Ren Zong,"Board of Works (Boo-yuwan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,"Square head; OIC dot long。 Auxiliary furnaces。 16 Type Bl.Open bei. Small 吉 jiin 嘉 jia. Smaller, poorer quality coins。 1803-15",,1803-15,319,39
22.486,Jiaqing,1796-1820,Ren Zong,"Board of Works (Boo-yuwan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,-8 Branch privy marks as,,,319,39
22.489,Jiaqing,1796-1820,Ren Zong,"Board of Works (Boo-yuwan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,-91 Branch Prvy marks as,,,319,39
22.492,Jiaqing,1796-1820,Ren Zong,"Board of Works (Boo-yuwan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,-4 Branch privy marks as,,,320,40
22.493,Jiaqing,1796-1820,Ren Zong,"Board of Works (Boo-yuwan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,通 duxgiar Rev,,,320,40
22.495,Jiaqing,1796-1820,Ren Zong,"Board of Works (Boo-yuwan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,-97 Old 通,,,320,40
22.498,Jiaqing,1796-1820,Ren Zong,"Board of Works (Boo-yuwan, Peking)",嘉度(庆)通赛 Jia Qing tong bao,-500 Branch privy marks as,,,320,40
22.499,Jiaqing,1796-1820,Ren Zong,"Board of Works (Boo-yuwan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,通 Auxiliary,,,320,40
22.501,Jiaqing,1796-1820,Ren Zong,"Board of Works (Boo-yuwan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,,,,320,40
22.505,Jiaqing,1796-1820,Ren Zong,"Board of Works (Boo-yuwan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,[,,,320,40
22.506,Jiaqing,1796-1820,Ren Zong,"Board of Works (Boo-yuwan, Peking)",嘉麽(庆)通寰 JJia Qing tong bao,,,,320,40
22.538,Jiaqing,1796-1820,Ren Zong,"Chengdu, Sichuan",嘉鏖(庆)通赛 Jia Qing tong bao,"Closed Six stroke bei。 Horizontal -W-in chuwan 1796.1804 卫02355,51510 16",5,1796-1804,323,43
